STATE,if,return,(,ID,INT,FLOAT,STR,;,),{,},while,function,else,else if,TYPE,=,==,!=,<,>,!,+,-,*,/,&&,||,true,false,$,INVALID_TOKEN,ARGUMENTS,BODY,WHILE_LOOP,STATEMENTS,IF,WHILE,VARIABLE_DEFINITION,FUNCTION_CALL,ASSIGNMENT,RETURN_STATEMENT,FUNCTION_DEFINITION,OTHER_ARGUEMENTS,ELSE,ELSE_PART,LE,AE,LE1,LE2,LE3,LE4,LE5,T,F
S15,R187,R187,R187,R187,R187,R187,R187,R187,R187,R187,R187,R187,R187,R187,R187,R187,R187,S39,S40,R187,R187,R187,R187,R187,R187,R187,R187,R187,R187,R187,,,,,,,,,,,,,,,,,,,,,,,,,
S16,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,R221,S41,R221,R221,,,,,,,,,,,,,,,,,,,,,,,,,
S17,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,R239,S43,S42,R239,R239,,,,,,,,,,,,,,,,,,,,,,,,,
S18,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,R253,,,,,,,,,,,,,,,,,,,,,,,,,
S19,,,S21,,S26,S27,,,,,,,,,,,,,,,,,,,,,,,S22,S23,,,,,,,,,,,,,,,,,,46,,,,,45,24,25
S20,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,R261,,,,,,,,,,,,,,,,,,,,,,,,,
S21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,56,,,,,,,
S22,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,R267,,,,,,,,,,,,,,,,,,,,,,,,,
S23,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,R269,,,,,,,,,,,,,,,,,,,,,,,,,
S24,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,R123,S48,S49,R123,R123,R123,R123,,,,,,,,,,,,,,,,,,,,,,,,,
